Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
Leche Entera,7500001,Lacteos,2025-10-02,SuperMax,104.48,309
Leche Entera 500g,7500002,Lacteos,2027-11-06,NaturaBio,48.24,349
Leche Entera 1kg,7500003,Lacteos,2025-06-11,AlimentaVida,80.02,407
Leche Entera Light,7500004,Lacteos,2027-02-05,VidaMax,24.76,160
Leche Entera Premium,7500005,Lacteos,2027-09-21,NutriPlus,68.94,223
Leche Entera Familiar,7500006,Lacteos,2025-02-15,Marca Propia,13.54,195
Leche Deslactosada,7500007,Lacteos,2027-09-07,Nestle,90.62,472
Leche Deslactosada 500g,7500008,Lacteos,2028-08-08,Lala,58.33,185
Leche Deslactosada 1kg,7500009,Lacteos,2026-09-15,EcoStar,26.51,256
Leche Deslactosada Light,7500010,Lacteos,2026-12-12,Lala,116.37,310
Leche Deslactosada Premium,7500011,Lacteos,2025-05-06,SuperMax,66.84,499
Leche Deslactosada Familiar,7500012,Lacteos,2028-02-12,FreshCo,69.82,352
Leche Semidescremada,7500013,Lacteos,2025-07-24,SuperMax,102.61,387
Leche Semidescremada 500g,7500014,Lacteos,2027-12-04,Dos Pinos,46.16,390
Leche Semidescremada 1kg,7500015,Lacteos,2025-04-07,Alpura,90.58,212
Leche Semidescremada Light,7500016,Lacteos,2028-11-17,Generico,105.19,318
Leche Semidescremada Premium,7500017,Lacteos,2028-07-02,VidaMax,9.16,337
Leche Semidescremada Familiar,7500018,Lacteos,2025-12-04,PureFarm,77.83,331
Crema Acida,7500019,Lacteos,2027-09-08,NutriPlus,107.26,310
Crema Acida 500g,7500020,Lacteos,2028-10-15,Dos Pinos,95.04,496
Crema Acida 1kg,7500021,Lacteos,2025-01-25,Alpura,42.44,77
Crema Acida Light,7500022,Lacteos,2028-02-25,Dos Pinos,74.91,237
Crema Acida Premium,7500023,Lacteos,2026-10-03,FreshCo,74.38,478
Crema Acida Familiar,7500024,Lacteos,2025-07-22,AlimentaVida,55.06,6
Queso Fresco,7500025,Lacteos,2028-07-20,Generico,76.26,169
Queso Fresco 500g,7500026,Lacteos,2026-12-02,PureFarm,33.96,120
Queso Fresco 1kg,7500027,Lacteos,2026-12-01,PureFarm,104.49,353
Queso Fresco Light,7500028,Lacteos,2027-09-27,FreshCo,6.36,274
Queso Fresco Premium,7500029,Lacteos,2027-05-06,Lala,43.65,224
Queso Fresco Familiar,7500030,Lacteos,2026-08-17,Lala,38.44,444
Queso Amarillo,7500031,Lacteos,2028-01-25,PureFarm,55.36,316
Queso Amarillo 500g,7500032,Lacteos,2026-07-15,Lala,67.99,287
Queso Amarillo 1kg,7500033,Lacteos,2025-10-21,EcoStar,61.25,335
Queso Amarillo Light,7500034,Lacteos,2028-01-14,NutriPlus,103.63,321
Queso Amarillo Premium,7500035,Lacteos,2025-01-21,Parmalat,21.87,217
Queso Amarillo Familiar,7500036,Lacteos,2027-11-22,Dos Pinos,42.91,77
Mantequilla,7500037,Lacteos,2028-05-10,EcoStar,62.99,368
Mantequilla 500g,7500038,Lacteos,2025-07-17,PureFarm,54.28,259
Mantequilla 1kg,7500039,Lacteos,2025-12-20,Nestle,7.22,408
Mantequilla Light,7500040,Lacteos,2025-07-01,NaturaBio,49.06,406
Mantequilla Premium,7500041,Lacteos,2026-12-04,AlimentaVida,73.38,180
Mantequilla Familiar,7500042,Lacteos,2027-08-06,VidaMax,61.39,99
Yogurt Natural,7500043,Lacteos,2025-03-15,VidaMax,66.86,353
Yogurt Natural 500g,7500044,Lacteos,2028-03-13,NutriPlus,66.71,192
Yogurt Natural 1kg,7500045,Lacteos,2025-06-16,Alpura,59.93,6
Yogurt Natural Light,7500046,Lacteos,2028-02-21,Generico,44.7,159
Yogurt Natural Premium,7500047,Lacteos,2026-10-27,SuperMax,6.79,44
Yogurt Natural Familiar,7500048,Lacteos,2025-07-10,Generico,33.12,160
Yogurt Fresa,7500049,Lacteos,2028-05-23,NutriPlus,16.34,225
Yogurt Fresa 500g,7500050,Lacteos,2028-10-24,Marca Propia,76.42,243
Yogurt Fresa 1kg,7500051,Lacteos,2025-07-22,Dos Pinos,118.27,362
Yogurt Fresa Light,7500052,Lacteos,2026-01-27,Lala,33.22,407
Yogurt Fresa Premium,7500053,Lacteos,2025-05-04,Dos Pinos,12.53,270
Yogurt Fresa Familiar,7500054,Lacteos,2028-12-26,AlimentaVida,70.81,164
Yogurt Durazno,7500055,Lacteos,2025-06-20,Generico,89.66,383
Yogurt Durazno 500g,7500056,Lacteos,2028-01-22,EcoStar,89.0,20
Yogurt Durazno 1kg,7500057,Lacteos,2028-03-16,Dos Pinos,4.76,151
Yogurt Durazno Light,7500058,Lacteos,2028-07-06,Parmalat,67.61,251
Yogurt Durazno Premium,7500059,Lacteos,2025-07-20,NutriPlus,33.6,471
Yogurt Durazno Familiar,7500060,Lacteos,2028-07-24,Generico,99.88,51
Natilla,7500061,Lacteos,2027-09-01,Alpura,52.01,188
Natilla 500g,7500062,Lacteos,2026-08-15,VidaMax,53.24,327
Natilla 1kg,7500063,Lacteos,2027-06-19,Parmalat,88.59,82
Natilla Light,7500064,Lacteos,2025-04-20,NaturaBio,87.03,390
Natilla Premium,7500065,Lacteos,2028-11-24,FreshCo,28.49,22
Natilla Familiar,7500066,Lacteos,2027-03-11,EcoStar,5.36,474
Leche Condensada,7500067,Lacteos,2026-02-23,PureFarm,49.71,304
Leche Condensada 500g,7500068,Lacteos,2026-07-22,Lala,42.02,465
Leche Condensada 1kg,7500069,Lacteos,2026-01-09,Parmalat,32.23,381
Leche Condensada Light,7500070,Lacteos,2026-07-22,NaturaBio,76.54,165
Leche Condensada Premium,7500071,Lacteos,2025-08-13,Parmalat,35.83,101
Leche Condensada Familiar,7500072,Lacteos,2028-05-07,Nestle,46.14,125
Queso Manchego,7500073,Lacteos,2026-09-17,Marca Propia,57.32,83
Queso Manchego 500g,7500074,Lacteos,2027-05-11,Parmalat,72.61,385
Queso Manchego 1kg,7500075,Lacteos,2026-08-02,Dos Pinos,49.52,20
Queso Manchego Light,7500076,Lacteos,2028-01-04,AlimentaVida,18.14,452
Queso Manchego Premium,7500077,Lacteos,2026-10-03,Nestle,20.54,320
Queso Manchego Familiar,7500078,Lacteos,2028-12-01,NaturaBio,52.84,289
Crema para Batir,7500079,Lacteos,2027-01-08,Lala,99.55,353
Crema para Batir 500g,7500080,Lacteos,2027-06-28,Dos Pinos,88.46,34
Crema para Batir 1kg,7500081,Lacteos,2026-01-24,Nestle,69.11,311
Crema para Batir Light,7500082,Lacteos,2028-02-05,FreshCo,102.01,130
Crema para Batir Premium,7500083,Lacteos,2027-07-01,Marca Propia,18.69,145
Crema para Batir Familiar,7500084,Lacteos,2026-11-12,SuperMax,59.41,485
Refresco Cola,7500085,Bebidas,2027-03-01,Del Valle,55.92,317
Refresco Cola 500g,7500086,Bebidas,2027-01-22,FreshCo,17.72,216
Refresco Cola 1kg,7500087,Bebidas,2025-12-01,VidaMax,4.68,460
Refresco Cola Light,7500088,Bebidas,2026-07-19,Generico,69.18,316
Refresco Cola Premium,7500089,Bebidas,2028-01-23,Generico,37.62,163
Refresco Cola Familiar,7500090,Bebidas,2027-06-03,EcoStar,45.99,443
Refresco Naranja,7500091,Bebidas,2027-08-02,Coca Cola,49.64,290
